Name,test_acc,test_pre,test_rec,test_f1
run 1,0.844984829,0.672131121,0.881720424,0.76279068
run 2,0.841945291,0.669421494,0.870967746,0.757009327
run 3,0.829787254,0.65289259,0.84946239,0.738317788
run 4,0.826747715,0.652542353,0.827956975,0.729857862
run 5,0.814589679,0.623076916,0.870967746,0.726457417
run 6,0.808510661,0.613636374,0.870967746,0.720000029
run 7,0.835866272,0.661157012,0.860215068,0.747663558
run 8,0.829787254,0.645669281,0.881720424,0.74545455
run 9,0.829787254,0.65040648,0.860215068,0.740740716
run 10,0.826747715,0.657894731,0.806451619,0.724637628
mean,0.828875393,0.649882835,0.85806452,0.739292955
stdev.s,0.011103358,0.018662399,0.024203502,0.014212122
